Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2a5914c5-2b8b-4932-84dc-6bf33d939942
Plate Name	NADguanosineplate
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	5	3	867	229	[828,208,890,288]	-550.88	1379.56					3	177	0.0113021	5	0.00201369	3827.44	220.149	0.663413	10.1763	28.4188	0.358085	5	
2	2	1	0	5	4	760	328	[736,305,785,358]	-579.9	1353.72					4	22	0.000634187	1	0.000554017	6855.53	160.036	0.939274	10.4174	17.6285	0.590945	1	
2	2	1	0	5	5	697	504	[667,480,726,530]	-599.04	1301.92					5	938	0.0361883	27	0.012357	4175.51	193.728	0.903463	12.619	18.514	0.681588	27	
2	2	1	0	5	6	725	639	[684,605,757,675]	-591.78	1261.41					6	1517	0.0288517	49	0.0122684	6228.85	354.119	0.894774	16.949	26.3247	0.643843	49	
2	2	1	0	5	7	425	649	[397,626,457,674]	-679.64	1259.05					7	111	0.00823578	3	0.00169587	3702.93	156.844	0.822104	10.1763	19.446	0.523313	3	
2	2	1	0	5	8	1013	686	[984,664,1039,710]	-504.99	1248.29					8	610	0.0491674	19	0.0104683	6293.96	160.923	0.973091	11.5015	16.8992	0.680595	19	
2	2	1	0	5	9	319	747	[278,723,358,772]	-710.73	1229.82					9	501	0.0546406	9	0.00327988	3161.17	243.29	0.801968	13.3164	24.1335	0.551779	9	
2	2	1	0	5	10	427	877	[397,853,460,903]	-679.06	1190.56					10	124	0.0587196	3	0.00139795	4372.01	190.27	0.840771	12.3921	19.242	0.644012	3	
2	2	1	0	6	1	878	802	[856,783,905,865]	-220.88	1207.19					1	136	0.00722343	5	0.00186012	4855.51	238.325	0.757702	10.7195	24.4818	0.437854	5	
2	2	1	0	6	2	333	398	[304,373,363,423]	-383.93	1333.87					2	661	0.0262911	27	0.0123119	3410.56	194.437	0.892874	12.619	18.1733	0.694369	27	
2	2	1	0	6	3	293	433	[268,408,318,465]	-396.62	1322.95					3	666	0.0406421	23	0.0103464	5523.3	197.097	0.918892	13.4357	17.9153	0.749954	23	
2	2	1	0	6	4	633	689	[575,665,662,715]	-297.43	1246.56					4	531	0.0132209	23	0.00788211	13319.5	258.718	0.790753	13.5931	25.9481	0.523858	23	
