Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	7565033a-ea03-4f4b-8fc5-eb1516bb4f87
Plate Name	rech2ax53bp1270224
Measurement	Measurement 1
Evaluation	Evaluation5
Population	Population - Nuclei Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Intensity Nucleus Alexa 488 Mean	Nuclei Selected - Intensity Nucleus DAPI Mean	Nuclei Selected - Intensity Ring Region DAPI Mean	Nuclei Selected - Total Spot Area	Nuclei Selected - Relative Spot Intensity	Nuclei Selected - Number of Spots	Nuclei Selected - Number of Spots per Area of Nucleus	Nuclei Selected - Total Spot Area (2)	Nuclei Selected - Relative Spot Intensity (2)	Nuclei Selected - Number of Spots (2)	Nuclei Selected - Number of Spots per Area of Nucleus (2)	
5	2	0	49	29	395	895	[361,862,435,931]	588.5	-682.34					37	127.732	0.870675	0.728811	2042.75	6577.27	2282.18	140	0.0028328	4	0.00110865	152	0.00187947	5	0.00138581	
5	2	0	49	30	193	915	[156,877,256,960]	551.12	-686.17					38	207.068	0.852902	0.599885	2627.04	9110.73	3900.56	179	0.00793574	4	0.000683878	130	0.00851267	5	0.000854847	
5	2	0	49	31	250	965	[202,937,281,995]	558.88	-695.25					41	116.651	0.89655	0.558715	1759.35	6864.2	1835.77	189	0.0076367	7	0.00212443	247	0.00793383	9	0.00273141	
5	2	0	49	32	660	985	[627,947,692,1032]	637.8	-699.75					43	156.549	0.920227	0.711035	1738.25	5052.59	1356.63	209	0.0311495	7	0.00158299	283	0.0130141	11	0.00248756	
5	2	0	49	33	774	986	[731,953,815,1021]	658.94	-699.35					44	162.143	0.9672	0.760169	1639.35	4769.1	1182.45	121	0.000633514	5	0.0010917	60	0.000540396	2	0.000436681	
5	2	0	49	34	228	1023	[200,990,267,1051]	557.34	-705.38					45	109.96	0.993607	0.775926	1894.34	6587.51	1330.55	202	0.00567587	6	0.00193174	155	0.00499346	5	0.00160979	
5	2	0	49	35	878	60	[830,16,926,105]	678.54	-524.87					50	226.398	0.934652	0.698797	1863.26	6099.56	1837.29	1005	0.0154244	32	0.00500391	1527	0.0289623	53	0.00828773	
5	2	0	49	36	484	69	[444,37,527,102]	605.02	-526.59					52	152.69	0.89836	0.756249	1798.2	5682.79	2458.21	251	0.0202915	8	0.00185486	224	0.00610196	9	0.00208671	
5	2	0	49	37	715	81	[667,26,760,132]	648.2	-529.38					53	215.458	0.838668	0.593563	1902.54	7494.51	2575.2	1101	0.0136622	30	0.00492935	1956	0.0399106	59	0.00969438	
5	2	0	49	38	593	77	[559,40,629,134]	625.61	-530					54	171.276	0.945148	0.627643	1827.52	6692.15	2214.89	304	0.0145466	9	0.00186027	165	0.00540429	7	0.00144688	
5	2	0	49	39	913	144	[876,108,948,183]	685.36	-541.13					55	154.319	0.979883	0.789504	1997.69	4625.93	1240.51	246	0.027697	7	0.00160587	320	0.0193659	11	0.00252351	
5	2	0	49	40	57	206	[18,168,136,268]	527.62	-554.62					56	259.534	0.800829	0.513609	2126.41	5617.07	2246.39	715	0.00980817	27	0.00368299	694	0.0195068	27	0.00368299	
5	2	0	49	41	880	278	[839,239,920,329]	679.62	-566.7					57	197.12	0.897406	0.744732	2181.38	8334.61	3124.36	36	0.000222122	1	0.000179598	51	0.000573713	2	0.000359195	
5	2	0	49	42	620	314	[583,276,657,364]	630.24	-573.72					58	174.887	0.984636	0.72285	1974.18	6939.3	1763.71	666	0.0458993	18	0.00364372	820	0.0453769	24	0.0048583	
5	2	0	49	43	231	367	[166,322,273,414]	554.86	-582.63					60	247.498	0.864087	0.52012	1905.67	6924.46	1681.84	1077	0.0327732	41	0.00586468	1397	0.0305735	57	0.00815334	
5	2	0	49	44	815	418	[773,378,864,459]	667.69	-592.37					61	210.361	0.985582	0.855651	2192.95	6770.9	1432.88	244	0.00333594	7	0.00117805	208	0.00542577	7	0.00117805	
5	2	0	49	45	535	445	[491,389,579,492]	615.2	-596.94					62	240.913	0.940834	0.728996	2366.52	11604.6	3102.87	496	0.00382022	13	0.00191036	1076	0.0210481	30	0.00440852	
5	2	0	49	46	244	505	[210,469,278,550]	559.78	-609.15					63	154.425	0.980264	0.790187	1764.27	7074.76	1582.35	552	0.0111904	17	0.00389729	825	0.0203845	29	0.00664833	
5	2	0	49	47	646	507	[615,476,683,540]	635.64	-609.2					64	123.554	0.992657	0.84777	1781.43	5586.88	1373.73	462	0.0229426	16	0.00458453	621	0.0219859	18	0.00515759	
5	2	0	49	48	331	515	[295,479,373,552]	576.32	-610.49					65	163.488	1.00186	0.887662	1970.81	8128.17	2112.36	750	0.00900386	20	0.00433088	1148	0.042831	33	0.00714595	
5	2	0	49	49	105	547	[69,510,141,589]	533.35	-616.67					66	161.01	0.99328	0.86418	1744.23	6791.76	1329.44	296	0.00214348	10	0.00219877	730	0.0103783	24	0.00527705	
5	2	0	49	50	812	558	[765,510,856,604]	666.13	-618.17					67	232.593	0.945118	0.76754	1873.56	6007.69	2210.13	220	0.0012008	5	0.000761035	0	0	0	0	
5	2	0	49	51	184	604	[143,563,238,646]	549.12	-627.35					68	224.274	0.969564	0.790184	1990.15	6254.55	1534.36	262	0.0235559	8	0.00126283	130	0.00629874	4	0.000631413	
5	2	0	49	52	725	612	[679,567,773,658]	650.34	-628.62					69	227.601	0.981823	0.811256	1999.32	6115.49	1362.69	307	0.0531935	3	0.000466636	477	0.0647773	7	0.00108882	
5	2	0	49	53	465	631	[417,587,511,687]	601.69	-633.34					70	242.506	0.951988	0.758104	2717.16	10275.3	4072.73	804	0.0242695	19	0.00277372	1142	0.0247422	29	0.00423358	
5	2	0	49	54	50	653	[18,620,82,690]	522.79	-636.73					71	125.324	0.983238	0.82975	1951.34	5750.17	1199.46	185	0.0237589	6	0.00169492	226	0.0192869	9	0.00254237	
5	2	0	49	55	320	799	[201,735,404,909]	572.9	-665.63					72	733.536	0.711352	0.525219	2475.94	9152.69	3529.51	585	0.00268898	17	0.000820463	719	0.00203694	17	0.000820463	
5	2	0	49	56	112	824	[74,787,149,867]	534.62	-668.96					73	167.17	0.999051	0.914926	2159.16	7673.62	2105.48	533	0.00573297	19	0.00402372	722	0.0123783	27	0.00571792	
